GeoType,GeogName,GeoID,Borough,MdHHIncE,Pop16plE
NTA2010,Charleston-Richmond Valley-Tottenville,SI11,Staten Island,"86,645","19,291"
NTA2010,Grasmere-Arrochar-Ft. Wadsworth,SI14,Staten Island,"74,103","12,686"
NTA2010,Great Kills,SI54,Staten Island,"91,161","35,958"
NTA2010,Grymes Hill-Clifton-Fox Hills,SI08,Staten Island,"55,814","17,145"
NTA2010,Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12,Staten Island,"59,106","23,256"
NTA2010,New Brighton-Silver Lake,SI35,Staten Island,"72,283","14,140"
NTA2010,New Dorp-Midland Beach,SI45,Staten Island,"77,658","17,282"
NTA2010,New Springville-Bloomfield-Travis,SI05,Staten Island,"76,123","33,186"
NTA2010,Oakwood-Oakwood Beach,SI25,Staten Island,"75,638","17,332"
NTA2010,Old Town-Dongan Hills-South Beach,SI36,Staten Island,"65,994","20,610"
NTA2010,park-cemetery-etc-Staten Island,SI99,Staten Island,,0
NTA2010,Port Richmond,SI28,Staten Island,"62,339","15,378"
NTA2010,Rossville-Woodrow,SI32,Staten Island,"93,405","17,061"
NTA2010,Stapleton-Rosebank,SI37,Staten Island,"53,120","20,812"
NTA2010,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,Staten Island,"83,355","26,686"
NTA2010,West New Brighton-New Brighton-St. George,SI22,Staten Island,"48,899","25,027"
NTA2010,Westerleigh,SI07,Staten Island,"79,491","19,640"
NTA2010,Allerton-Pelham Gardens,BX31,The Bronx,"59,992","26,656"
NTA2010,Bedford Park-Fordham North,BX05,The Bronx,"33,643","42,293"
NTA2010,Belmont,BX06,The Bronx,"24,727","22,085"
NTA2010,Bronxdale,BX07,The Bronx,"35,431","30,046"
NTA2010,Claremont-Bathgate,BX01,The Bronx,"21,369","24,213"
NTA2010,Co-op City,BX13,The Bronx,"46,492","40,935"
NTA2010,Crotona Park East,BX75,The Bronx,"22,538","16,206"
NTA2010,East Concourse-Concourse Village,BX14,The Bronx,"28,772","49,034"
NTA2010,East Tremont,BX17,The Bronx,"22,130","33,134"
NTA2010,Eastchester-Edenwald-Baychester,BX03,The Bronx,"50,231","28,159"
NTA2010,Fordham South,BX40,The Bronx,"23,992","20,825"
NTA2010,Highbridge,BX26,The Bronx,"26,281","28,547"
NTA2010,Hunts Point,BX27,The Bronx,"22,679","19,678"
NTA2010,Kingsbridge Heights,BX30,The Bronx,"32,458","24,395"
NTA2010,Longwood,BX33,The Bronx,"25,381","21,290"
NTA2010,Melrose South-Mott Haven North,BX34,The Bronx,"24,693","30,880"
NTA2010,Morrisania-Melrose,BX35,The Bronx,"27,931","30,392"
NTA2010,Mott Haven-Port Morris,BX39,The Bronx,"21,469","39,844"
NTA2010,Mount Hope,BX41,The Bronx,"26,762","40,169"
NTA2010,North Riverdale-Fieldston-Riverdale,BX22,The Bronx,"85,783","22,410"
NTA2010,Norwood,BX43,The Bronx,"32,396","32,074"
